,$\Delta t$,$t_{	ext{max}}$,$\mathcal{J}_q$,$\mathcal{J}_2$,$\beta_0$,$\mathcal{E}_0$,$\beta_f$,$\mathcal{E}_f$,$\Delta \mathcal{E}(t)_{	ext{max}}$,"$\text{Rel,Err}(\mathcal{E}_f)$",$\gamma$,$B_{\mathcal{K}}$,$C_{\mathcal{K}}$,$	ext{MSE}_{\mathcal{K}}$,$\mathcal{V}(t_f)$,$\mathcal{V}_{\text{EQ}}(\beta)$,"$\text{Rel,Err}(\mathcal{V}(t_f))$"
13,0.05,1700.0,1.0,0.04,18.93637405357614,-0.9886859966642596,0.007368779186124,-0.9908528897930736,0.0004425036467678,0.0021916899158326572,0.0034062568638236,-0.9868647424678616,0.9606288882615132,1.60425655975286e-05,-0.0039249525726176,-0.0036843561972029,0.061299180299201186
14,0.05,1700.0,1.0,0.05,18.93637405357614,-0.9886859966642596,0.0003717284856571,-0.9905658417233368,0.000442497635421,0.001901357018729574,0.005274192384582,-0.98886346400737,0.962623463847287,1.2302670298162307e-05,-0.0001856504247965,-0.0001858642385373,0.0011517007894507503
15,0.05,1700.0,1.0,0.06,18.93637405357614,-0.9886859966642596,9.00133422281521e-06,-0.990407138167834,0.0004424902467419,0.0017408373430809858,0.0075713773283343,-0.9894437608610204,0.9649267694910334,9.149004961844165e-06,-4.468316726791179e-06,-4.50066711134661e-06,0.007239948851759861
24,0.05,1700.0,1.0,0.07,18.93637405357614,-0.9886859966642596,1e-06,-0.9903123702868636,0.0004424814558462,0.0016449849882482664,0.0102907894665275,-0.9896752174149004,0.9676326313451412,6.942924485676975e-06,-5.4793144973661136e-08,-4.999999999999162e-07,8.125229081854389
0,0.05,1700.0,1.0,0.003,8.440691151863328,-0.9539392014169455,6.947791164658634,-0.9748764141162548,0.0004427220353808,0.021948162595907483,2.3977253440283585e-05,-0.9499334717657432,0.9499578128025296,3.853828143949772e-13,-0.93710819427486,-0.9369489156914154,0.00016996818981816409
1,0.05,1700.0,1.0,0.004,8.440691151863328,-0.9539392014169455,5.437751004016064,-0.9733649090228575,0.0004427219832485,0.02036367472587119,6.121728582543574e-05,-0.659697245448033,0.6597262835549794,3.116407257291036e-11,-0.908304930871612,-0.9080545908626432,0.0002756122976549453
2,0.05,1700.0,1.0,0.005,8.440691151863328,-0.9539392014169455,4.377510040160642,-0.971674522033863,0.0004427219162187,0.018591667677116137,0.0001011876658893,-0.6204796746440316,0.6204858552602343,4.46941174436622e-10,-0.8736793299069974,-0.8740068226634018,0.00037484320069616994
3,0.05,1700.0,1.0,0.006,8.440691151863328,-0.9539392014169455,3.57429718875502,-0.969918188926328,0.0004427218342895,0.01675053031225453,0.0001430791302787,-0.6274964324944237,0.6274326532015132,2.717225972897062e-09,-0.8343524570561652,-0.8339206085423951,0.0005175852364524459
4,0.05,1700.0,1.0,0.007,8.440691151863328,-0.9539392014169455,2.995983935742972,-0.9681880727763372,0.0004427217374574,0.014936875786451526,0.0001866358888427,-0.6492515579797701,0.6490536321666984,1.0444964486935751e-08,-0.7913723845776052,-0.7921049889715694,0.0009257391441012982
5,0.05,1700.0,1.0,0.008,8.440691151863328,-0.9539392014169455,2.5140562248995986,-0.9665520522571488,0.0004427216257209,0.013221860283620374,0.0002318536284167,-0.6761482690725023,0.6757385771856583,3.0155630306711256e-08,-0.7457017206389707,-0.7442775863051492,0.0019097908646384663
6,0.05,1700.0,1.0,0.009,8.440691151863328,-0.9539392014169455,2.1606425702811247,-0.9650543190106188,0.0004427214990753,0.011651809231828665,0.0002788414559005,-0.7042909532514559,0.7035823987042262,7.156047004414456e-08,-0.6982145076093658,-0.6983879092121406,0.0002483500426946242
7,0.05,1700.0,1.0,0.01,8.440691151863328,-0.9539392014169455,1.8612893929286192,-0.9637184810478152,0.0004427213575176,0.010251470551104189,0.0003277590342137,-0.7318506140082924,0.7307504983201717,1.471977979891268e-07,-0.6496976583019157,-0.6498072883069308,0.00016874003409771544
11,0.05,1700.0,1.0,0.02,8.440691151863328,-0.9539392014169455,0.4675145430286858,-0.9576194420118908,0.0004427191205953,0.0038579404111695106,0.0009628779211369,-0.902222017488854,0.8929863162365408,5.092152058318964e-06,-0.2254732398597118,-0.2257561629099131,0.0012547965797508342
12,0.05,1700.0,1.0,0.03,8.440691151863328,-0.9539392014169455,0.0820591060707138,-0.9564239891144428,0.0004427153848548,0.002604765265759558,0.0019614305514681,-0.9442288837020616,0.9262187182437288,1.2160257884621773e-05,-0.0410905709602752,-0.0409835577337293,0.00260432561643771
13,0.05,1700.0,1.0,0.04,8.440691151863328,-0.9539392014169455,0.007368779186124,-0.955954277895398,0.0004427101389908,0.0021123741171967035,0.0033882911096854,-0.9524088702466292,0.930687545981582,1.2092332880132312e-05,-0.0038220859484978,-0.0036843561972029,0.036035231324149625
14,0.05,1700.0,1.0,0.05,8.440691151863328,-0.9539392014169455,0.0003610600400266,-0.9557098557637834,0.0004427033671755,0.0018561501028658961,0.005250002908552,-0.9542002521159528,0.9324149526381984,9.312540786157362e-06,-0.0001807614749397,-0.000180530016081,0.0012804656455541522
15,0.05,1700.0,1.0,0.06,8.440691151863328,-0.9539392014169455,9.00133422281521e-06,-0.9555744290598654,0.0004426950490617,0.0017141843426614557,0.0075381044038899,-0.9547219609240162,0.934424804798366,6.927661585958627e-06,-4.349993258329098e-06,-4.50066711134661e-06,0.03463772104221325
24,0.05,1700.0,1.0,0.07,8.440691151863328,-0.9539392014169455,1e-06,-0.955493720252163,0.000442685159779,0.001629578523357019,0.0102460973417069,-0.9549308024234738,0.936812231178778,5.2555927181054575e-06,-5.333364988687184e-08,-4.999999999999162e-07,8.374944356152005
0,0.06,1740.0,1.0,0.003,1.9938539687925645,-0.6726068688320095,1.8959670446964645,-0.6786931343573066,0.0006323219103271,0.00904877099436406,1.714610326611353e-05,-0.7747775816566996,0.7747871697638711,2.307755340835951e-14,-0.6559823289451591,-0.6559949934638393,1.9306188781899687e-05
