,dt,maxt,sigma,Jq,J2,beta0,betaf,betaMSE,E0,Ef,Neq_Kin,Neq_Int,ReGamma,ReErr,ImGamma,ImErr,ReMSE,ImMSE,Therm_MSE,mean_dE,max_dE,thermalE,thermal_Kin,thermal_int,EGamma,Econst,Eampli,EGamm_err,EMSE,E2Gamma,E2ampli,E2MSE
0,0.05,700.0,0.03,1.0,0.01,102.71945499809463,3.734939759036144,16674.357081032413,-0.9995498987044118,-1.0069358282973118,-0.1647325241380725,-0.8422964488092843,0.0023146021299331,4.009373862267079e-06,0.0024916412059624,5.819513382884666e-06,0.0001916205711518,0.0376567025237356,16674.357081032413,3.675965761517794e-07,0.0004869643716567,-1.0069358282973118,-0.1636621682560172,-0.8432736600412946,0.0005126747821024,-0.5440130759531939,0.5436229102400639,4.299499265524788e-07,4.6940266442872845e-08,0.0028823122716162,0.1809842689386296,0.0001003110274732
1,0.05,700.0,0.03,1.0,0.02,102.71945499809463,1.3135536536536536,29691.899345944832,-0.9995498987044118,-1.0030932250523463,-0.4740126173253504,-0.5290998454560724,0.0038538834744868,6.191386242528082e-06,0.0031242969300449,7.380910630732847e-06,0.0008862916654507,0.1736655958781163,29691.899345944832,7.566292164946771e-08,0.0004869624689703,-1.0030932250523463,-0.4741813006300773,-0.528911924422269,0.0012449495345873,-0.8080750530689553,0.8040166456068081,9.063467056481076e-07,1.6313022087916898e-06,0.0031519873210803,0.5115938209637978,0.0005142620411716
2,0.05,700.0,0.03,1.0,0.03,102.71945499809463,0.5410513513513514,25299.45332766907,-0.9995498987044118,-1.001857875649813,-0.7438913091459048,-0.2579787903144438,0.0060369281480925,8.365631701331591e-06,0.0039613021525625,8.559841279546286e-06,0.001681346456819,0.2317112116637699,25299.45332766907,4.82604350530169e-08,0.0004869592902829,-1.001857875649813,-0.7434933570091016,-0.2583645186407117,0.0022594015554081,-0.9281081567196844,0.9174346222919484,1.345195131691141e-06,7.845302322397633e-06,0.0036537352452902,0.7797869616048522,0.0006298359547398
3,0.05,700.0,0.03,1.0,0.04,102.71945499809463,0.1948262262262262,20890.11961471884,-0.9995498987044118,-1.001521893726805,-0.9049171170281518,-0.096612959774562,0.0091733900338582,1.1024632346629728e-05,0.0052191108698706,9.826593501852995e-06,0.0021239752526846,0.179929440457552,20890.11961471884,3.2075671805413196e-08,0.0004869548242796,-1.001521893726805,-0.9047190859704484,-0.0968028077563565,0.0036449907209566,-0.974273538728427,0.9570989064766392,1.754601691262892e-06,1.5631270714928373e-05,0.0044696287629704,0.9195162907390612,0.000296107374259
4,0.05,700.0,0.03,1.0,0.05,102.71945499809463,0.0547351351351351,22293.67703536384,-0.9995498987044118,-1.00136005062685,-0.9738536256958104,-0.0275101320322603,0.0133466758854419,1.404907151570752e-05,0.0070206338882721,1.14736200707311e-05,0.0020757614372211,0.1062919233042284,22293.67703536384,1.4378180656971058e-08,0.0004869490551201,-1.00136005062685,-0.9740061701534424,-0.0273538804734075,0.0054530018551341,-0.9905290218028254,0.9693346753987868,2.200067174693856e-06,1.931856109741706e-05,0.0057763433124957,0.9646914485579818,6.014153614387403e-05
5,0.05,700.0,0.03,1.0,0.06,102.71945499809463,0.0127078078078078,29077.242526969163,-0.9995498987044118,-1.0012405562079325,-0.9953050167410282,-0.0059367148350955,0.0184740183380889,1.7175453463711128e-05,0.0094049327105135,1.372067181309774e-05,0.0017458349215433,0.0573636015644501,29077.242526969163,4.499386756439467e-09,0.0004869419624387,-1.0012405562079325,-0.9948868239249384,-0.0063537322829937,0.0077015406263779,-0.996281973017204,0.9739229238138364,2.757080344459708e-06,1.862775159570334e-05,0.0077440121072314,0.9738219311575892,1.92044745714284e-05
12,0.05,700.0,0.03,1.0,0.07,102.71945499809463,0.0027013013013013,41169.27985794863,-0.9995498987044118,-1.0011523818860215,-1.0001818355616563,-0.0009708142200209,0.0244614895078814,2.028576007990952e-05,0.0123555232929206,1.6590897158245432e-05,0.001367181630104,0.0308289099682641,41169.27985794863,1.0095204456822675e-09,0.0004869335213435,-1.0011523818860215,-0.9998017328860388,-0.0013506489999828,0.010390976205953,-0.9984814250313774,0.9770789791116348,3.4589198220694382e-06,1.6013106335113323e-05,0.0103344281807567,0.9770525710600034,1.679761264697752e-05
0,0.05,700.0,0.03,1.0,0.09,102.71945499809463,2.301101101101101e-05,85333.55164576408,-0.9995498987044118,-1.0010491003858846,-1.0010377828971253,-1.132296966921922e-05,0.0388616598667278,2.639640320593253e-05,0.0198003475722507,2.3722942039356987e-05,0.0008026020703304,0.0095415015410303,85333.55164576408,1.9849286018927297e-11,0.0004869124717264,-1.0010491003858846,-1.00103759488038,-1.1505505504481906e-05,0.0170633592786101,-0.9999000801788572,0.9837046577468372,5.253503082075918e-06,1.0743617807860914e-05,0.0169825962608976,0.983647230263098,1.1598129964639092e-05
1,0.05,700.0,0.03,1.0,0.1,102.71945499809463,1e-06,120581.36493951206,-0.9995498987044118,-1.001020193946276,-1.001019385602733,-8.088445615007155e-07,0.0472672008641515,3.0339957463654773e-05,0.0242320031700237,2.7754509635101395e-05,0.0006214990835042,0.0058345252510172,120581.36493951206,1.7709907096505168e-12,0.0004868997908011,-1.001020193946276,-1.001019693946276,-4.999999999999158e-07,0.0210315334330394,-1.0001680013370935,0.9873879047730528,6.300284080241301e-06,8.7717930178594e-06,0.0209571938661417,0.9873441305230272,9.297289968567675e-06
2,0.05,400.0,0.03,1.0,0.2,102.71945499809463,1e-06,908061.0362818514,-0.9995498987044118,-1.000935799868858,-1.0009357998688395,-1.8448002342527532e-14,0.1758062535229027,0.0001279639897126,0.0918863127493811,0.000108105542013,0.000170590270753,0.0002784385824872,908061.0362818514,0.0,0.0005242330233391,-1.000935799868858,-1.000935299868858,-4.999999999999134e-07,0.0825990884983736,-1.0006915474945142,1.031019348778898,2.611913777551209e-05,3.0207679370660982e-06,0.0825197859105836,1.0310127187466085,3.072925064321531e-06
