,dt,maxt,sigma,Jq,J2,beta0,betaf,betaMSE,E0,Ef,Neq_Kin,Neq_Int,ReGamma,ReErr,ImGamma,ImErr,ReMSE,ImMSE,Therm_MSE,mean_dE,max_dE,thermalE,thermal_Kin,thermal_int,EGamma,Econst,Eampli,EGamm_err,EMSE,E2Gamma,E2ampli,E2MSE
0,0.05,1700.0,0.15,1.0,0.003,18.93637405357614,10.0,15747.48549388642,-0.9886859966642596,-1.0138236269344558,-0.0420101737084671,-0.9719951901578764,0.0002090192679514,7.549176398357655e-08,0.0,0.0,0.0,8.289797951702348e-06,15747.48549388642,7.167289700922794e-07,0.0004425141987741,-1.0138236269344558,-0.0485892831995344,-0.9652343437349212,3.570165357681217e-05,-0.7137173520752731,0.7137453544191561,6.382026923028159e-09,9.817652109339076e-12,0.0008681530645855,0.0527227124427422,4.86084300181467e-06
1,0.05,1700.0,0.15,1.0,0.004,18.93637405357614,7.236947791164658,20009.39587494787,-0.9886859966642596,-1.011918985575036,-0.0711646165891826,-0.9409093010447702,0.0004293370455239,2.634341303913912e-07,0.0004941595951974,3.736364674819758e-07,2.420311581440534e-06,0.0005236899404191,20009.39587494787,6.118461483762757e-07,0.000442514152557,-1.011918985575036,-0.0710339480642324,-0.9408850375108034,8.297536932858881e-05,-0.540548318695193,0.5405453774729576,2.5421764956818653e-08,4.454847984592357e-10,0.0011286293029205,0.0791950397174874,2.186590811048235e-05
2,0.05,1700.0,0.15,1.0,0.005,18.93637405357614,5.27710843373494,37998.62190999853,-0.9886859966642596,-1.009818436745717,-0.1059947265447794,-0.9039510857004504,0.0005906469954548,4.485315201020479e-07,0.000637140446341,6.036038983641396e-07,1.3409134478941176e-05,0.0032533378356866,37998.62190999853,5.037490877687621e-07,0.0004425140931321,-1.009818436745717,-0.1059751880448209,-0.903843248700896,0.0001269719328454,-0.5449140482026409,0.5448163723262044,4.697267592339591e-08,3.3589507080043903e-09,0.0011418315189296,0.1177232898655903,4.546797883659525e-05
3,0.05,1700.0,0.15,1.0,0.006,18.93637405357614,4.120481927710843,54835.48071104731,-0.9886859966642596,-1.00765965738894,-0.1454456142760403,-0.8623153631686938,0.000725026622494,6.155409856260108e-07,0.0007413392184645,7.955926916971834e-07,3.785556144953601e-05,0.0098149687670278,54835.48071104731,4.012695036172607e-07,0.0004425140204976,-1.00765965738894,-0.1447554713082215,-0.8629041860807185,0.0001702604843095,-0.5769618459309023,0.5766896549609591,6.88508030277258e-08,1.3516854087370257e-08,0.0011678452003799,0.1604520105868249,8.2273368564395e-05
4,0.05,1700.0,0.15,1.0,0.007,18.93637405357614,3.317269076305221,72462.60565052046,-0.9886859966642596,-1.005551290653326,-0.1885367674781239,-0.8170927540108727,0.0008460970132305,7.656361376819908e-07,0.0008246420762322,9.56941253581548e-07,7.793201258519071e-05,0.0209580466147217,72462.60565052046,3.102239432716129e-07,0.0004425139346512,-1.005551290653326,-0.1885256083868779,-0.817025682266448,0.0002139625389322,-0.6157681596133812,0.6152297539139824,9.058057278724213e-08,3.9075412675514834e-08,0.001174966316791,0.2080283474133956,0.0001275494139893
5,0.05,1700.0,0.15,1.0,0.008,18.93637405357614,2.738955823293173,87813.26920845889,-0.9886859966642596,-1.0035709408066669,-0.2343592293755891,-0.7692705581298822,0.0009609051881144,9.024875310155878e-07,0.0008956271566349,1.0948657201086288e-06,0.0001340114859829,0.0366426729538579,87813.26920845889,2.336119962600124e-07,0.0004425138355894,-1.0035709408066669,-0.2351755317117793,-0.7683954090948876,0.0002587139754571,-0.655278239899921,0.6543737984535708,1.1204379009366797e-07,9.175273796173448e-08,0.0011848860805034,0.2583789987154936,0.0001819206249086
6,0.05,1700.0,0.15,1.0,0.009,18.93637405357614,2.321285140562249,96743.55266340272,-0.9886859966642596,-1.0017673199648616,-0.282074250838884,-0.7197363961372231,0.001073585834503,1.0296471343491029e-06,0.0009590552128638,1.2149536067270675e-06,0.0002054075889046,0.0562904670295157,96743.55266340272,1.7215468612166746e-07,0.0004425137233095,-1.0017673199648616,-0.2811726159975355,-0.7205947039673261,0.0003049424786615,-0.693188181917317,0.6918132750779333,1.3321139101010765e-07,1.8644284504918145e-07,0.0012184340152644,0.3083311403937123,0.0002546622328703
7,0.05,1700.0,0.15,1.0,0.01,18.93637405357614,1.973324883255504,106150.01436916536,-0.9886859966642596,-1.0001648072037386,-0.3309125317445285,-0.6692837032534404,0.0011868097999623,1.1500677334202174e-06,0.0010178490350996,1.3213516878174202e-06,0.0002908157982758,0.0790021487178152,106150.01436916536,1.2496379796843626e-07,0.0004425135978074,-1.0001648072037386,-0.3309742410942148,-0.6691905661095238,0.0003529730126264,-0.7285250810501457,0.7265739384351682,1.5407277941333254e-07,3.4028797644437e-07,0.0012304817084208,0.3612942954154842,0.0003211052717351
0,0.05,1700.0,0.15,1.0,0.008,18.93637405357614,2.738955823293173,87813.26920845889,-0.9886859966642596,-1.0035709408066669,-0.2343592293755891,-0.7692705581298822,0.0009609051881144,9.024875310155878e-07,0.0008956271566349,1.0948657201086288e-06,0.0001340114859829,0.0366426729538579,87813.26920845889,2.336119962600124e-07,0.0004425138355894,-1.0035709408066669,-0.2351755317117793,-0.7683954090948876,0.0002587139754571,-0.655278239899921,0.6543737984535708,1.1204379009366797e-07,9.175273796173448e-08,0.0011848860805034,0.2583789987154936,0.0001819206249086
1,0.05,1700.0,0.15,1.0,0.009,18.93637405357614,2.321285140562249,96743.55266340272,-0.9886859966642596,-1.0017673199648616,-0.282074250838884,-0.7197363961372231,0.001073585834503,1.0296471343491029e-06,0.0009590552128638,1.2149536067270675e-06,0.0002054075889046,0.0562904670295157,96743.55266340272,1.7215468612166746e-07,0.0004425137233095,-1.0017673199648616,-0.2811726159975355,-0.7205947039673261,0.0003049424786615,-0.693188181917317,0.6918132750779333,1.3321139101010765e-07,1.8644284504918145e-07,0.0012184340152644,0.3083311403937123,0.0002546622328703
2,0.05,1700.0,0.15,1.0,0.01,18.93637405357614,1.973324883255504,106150.01436916536,-0.9886859966642596,-1.0001648072037386,-0.3309125317445285,-0.6692837032534404,0.0011868097999623,1.1500677334202174e-06,0.0010178490350996,1.3213516878174202e-06,0.0002908157982758,0.0790021487178152,106150.01436916536,1.2496379796843626e-07,0.0004425135978074,-1.0001648072037386,-0.3309742410942148,-0.6691905661095238,0.0003529730126264,-0.7285250810501457,0.7265739384351682,1.5407277941333254e-07,3.4028797644437e-07,0.0012304817084208,0.3612942954154842,0.0003211052717351
3,0.05,1700.0,0.15,1.0,0.02,18.93637405357614,0.480852101400934,76330.23453144773,-0.9886859966642596,-0.9928651136227516,-0.761275538385285,-0.2315944670443312,0.0026238058451054,2.3357216244259263e-06,0.0016150969212697,2.0522039509776117e-06,0.0014675112829554,0.2629753831476507,76330.23453144773,1.9606662613352657e-08,0.0004425116143866,-0.9928651136227516,-0.7611145776418596,-0.231750535980892,0.0009806408794642,-0.9302964922777598,0.9182434683779124,3.4312442100944464e-07,7.51333460997742e-06,0.0015314042554524,0.7949848640372982,0.0006002683179393
4,0.05,1700.0,0.15,1.0,0.03,18.93637405357614,0.0847266177451634,42500.7644988381,-0.9886859966642596,-0.9914131701874224,-0.9492217315021222,-0.0421934272290632,0.0050254033671375,3.917149685016321e-06,0.0025838633296338,2.710846881183566e-06,0.0019561228911798,0.1863090774075253,42500.7644988381,7.939112977694159e-09,0.0004425083011443,-0.9914131701874224,-0.949100482805072,-0.0423126873823506,0.001976967625104,-0.9777095644583064,0.9556005947712076,5.126207300259215e-07,1.6465463443597987e-05,0.0021747614562561,0.9450509016781196,0.000108350847175
5,0.05,1700.0,0.15,1.0,0.04,18.93637405357614,0.007368779186124,49820.048385599424,-0.9886859966642596,-0.9908528897930736,-0.9869282703510408,-0.0039249525726176,0.0084841872562444,5.822248378089769e-06,0.0041142332171556,3.6960106103771097e-06,0.0015850668043412,0.0907086984931709,49820.048385599424,1.3198073446240403e-09,0.0004425036467678,-0.9908528897930736,-0.9871685335958706,-0.0036843561972029,0.0034062568638236,-0.9868647424678616,0.9606288882615132,7.323462457607748e-07,1.60425655975286e-05,0.0034020525038465,0.9606415024253594,1.60732269502225e-05
6,0.05,1700.0,0.15,1.0,0.05,18.93637405357614,0.0003717284856571,80772.52342014696,-0.9886859966642596,-0.9905658417233368,-0.9903802163204464,-0.0001856504247965,0.0128593841294316,7.83895344107728e-06,0.0062046690394999,5.10384243579186e-06,0.001105690313968,0.0436968522009534,80772.52342014696,9.810583222723164e-11,0.000442497635421,-0.9905658417233368,-0.9903799774847994,-0.0001858642385373,0.005274192384582,-0.98886346400737,0.962623463847287,1.044313449283778e-06,1.2302670298162307e-05,0.0052403731901794,0.9625603989570586,1.3565506641319704e-05
7,0.05,1700.0,0.15,1.0,0.06,18.93637405357614,9.00133422281521e-06,137633.7481963905,-0.9886859966642596,-0.990407138167834,-0.9904026707357656,-4.468316726791179e-06,0.0180758942846946,9.901940691625146e-06,0.0088053166773022,6.849827417964251e-06,0.0007663861989451,0.0220882574584983,137633.7481963905,3.4235740094989306e-12,0.0004424902467419,-0.990407138167834,-0.9904026375007228,-4.50066711134661e-06,0.0075713773283343,-0.9894437608610204,0.9649267694910334,1.4456616487170765e-06,9.149004961844165e-06,0.0075405833247516,0.9648786888577596,9.778803803180078e-06
8,0.05,1700.0,0.15,1.0,0.008,18.93637405357614,2.738955823293173,87813.26920845889,-0.9886859966642596,-1.0035709408066669,-0.2343592293755891,-0.7692705581298822,0.0009609051881144,9.024875310155878e-07,0.0008956271566349,1.0948657201086288e-06,0.0001340114859829,0.0366426729538579,87813.26920845889,2.336119962600124e-07,0.0004425138355894,-1.0035709408066669,-0.2351755317117793,-0.7683954090948876,0.0002587139754571,-0.655278239899921,0.6543737984535708,1.1204379009366797e-07,9.175273796173448e-08,0.0011848860805034,0.2583789987154936,0.0001819206249086
9,0.05,1700.0,0.15,1.0,0.009,18.93637405357614,2.321285140562249,96743.55266340272,-0.9886859966642596,-1.0017673199648616,-0.282074250838884,-0.7197363961372231,0.001073585834503,1.0296471343491029e-06,0.0009590552128638,1.2149536067270675e-06,0.0002054075889046,0.0562904670295157,96743.55266340272,1.7215468612166746e-07,0.0004425137233095,-1.0017673199648616,-0.2811726159975355,-0.7205947039673261,0.0003049424786615,-0.693188181917317,0.6918132750779333,1.3321139101010765e-07,1.8644284504918145e-07,0.0012184340152644,0.3083311403937123,0.0002546622328703
