,dt,maxt,sigma,Jq,J2,beta0,betaf,betaMSE,E0,Ef,Neq_Kin,Neq_Int,ReGamma,ReErr,ImGamma,ImErr,ReMSE,ImMSE,Therm_MSE,mean_dE,max_dE,thermalE,thermal_Kin,thermal_int,EGamma,Econst,Eampli,EGamm_err,EMSE,E2Gamma,E2ampli,E2MSE
0,0.05,1700.0,0.15,1.0,0.003,18.93637405357614,10.0,15747.48549388642,-0.9886859966642595,-1.0138236269344558,-0.0420101737084671,-0.9719951901578763,0.00020901926795142644,7.549176398357655e-08,0.0,0.0,0.0,8.289797951702348e-06,15747.48549388642,7.167289700922794e-07,0.00044251419877417477,-1.0138236269344558,-0.04858928319953448,-0.9652343437349213,3.570165357681217e-05,-0.7137173520752731,0.7137453544191561,6.382026923028159e-09,9.817652109339076e-12,0.0008681530645855756,0.052722712442742285,4.86084300181467e-06
1,0.05,1700.0,0.15,1.0,0.004,18.93637405357614,7.236947791164658,20009.39587494787,-0.9886859966642595,-1.011918985575036,-0.07116461658918269,-0.9409093010447702,0.00042933704552397235,2.634341303913912e-07,0.0004941595951974877,3.736364674819758e-07,2.420311581440534e-06,0.0005236899404191967,20009.39587494787,6.118461483762757e-07,0.0004425141525570461,-1.011918985575036,-0.07103394806423247,-0.9408850375108034,8.297536932858881e-05,-0.540548318695193,0.5405453774729576,2.542176495681865e-08,4.4548479845923577e-10,0.0011286293029205987,0.0791950397174874,2.186590811048235e-05
2,0.05,1700.0,0.15,1.0,0.005,18.93637405357614,5.27710843373494,37998.62190999853,-0.9886859966642595,-1.009818436745717,-0.1059947265447794,-0.9039510857004504,0.000590646995454807,4.485315201020479e-07,0.0006371404463410631,6.036038983641396e-07,1.3409134478941175e-05,0.0032533378356866824,37998.62190999853,5.037490877687621e-07,0.00044251409313214953,-1.009818436745717,-0.10597518804482098,-0.903843248700896,0.0001269719328454847,-0.5449140482026409,0.5448163723262044,4.697267592339591e-08,3.35895070800439e-09,0.0011418315189296495,0.11772328986559034,4.546797883659525e-05
3,0.05,1700.0,0.15,1.0,0.006,18.93637405357614,4.120481927710843,54835.48071104731,-0.9886859966642595,-1.00765965738894,-0.1454456142760403,-0.8623153631686938,0.000725026622494002,6.155409856260108e-07,0.0007413392184645182,7.955926916971834e-07,3.785556144953601e-05,0.009814968767027803,54835.48071104731,4.012695036172607e-07,0.00044251402049768674,-1.00765965738894,-0.14475547130822153,-0.8629041860807185,0.000170260484309543,-0.5769618459309023,0.5766896549609591,6.88508030277258e-08,1.3516854087370257e-08,0.0011678452003799104,0.16045201058682496,8.2273368564395e-05
4,0.05,1700.0,0.15,1.0,0.007,18.93637405357614,3.317269076305221,72462.60565052046,-0.9886859966642595,-1.005551290653326,-0.18853676747812398,-0.8170927540108727,0.0008460970132305227,7.656361376819908e-07,0.0008246420762322153,9.56941253581548e-07,7.793201258519071e-05,0.020958046614721716,72462.60565052046,3.1022394327161286e-07,0.0004425139346512975,-1.005551290653326,-0.18852560838687793,-0.817025682266448,0.00021396253893225502,-0.6157681596133812,0.6152297539139824,9.058057278724211e-08,3.907541267551483e-08,0.0011749663167910183,0.20802834741339568,0.00012754941398938495
5,0.05,1700.0,0.15,1.0,0.008,18.93637405357614,2.7389558232931726,87813.26920845889,-0.9886859966642595,-1.0035709408066669,-0.23435922937558917,-0.7692705581298822,0.000960905188114414,9.024875310155878e-07,0.0008956271566349062,1.0948657201086288e-06,0.0001340114859829729,0.03664267295385794,87813.26920845889,2.336119962600124e-07,0.00044251383558949767,-1.0035709408066669,-0.2351755317117793,-0.7683954090948876,0.00025871397545715005,-0.655278239899921,0.6543737984535708,1.1204379009366797e-07,9.175273796173447e-08,0.0011848860805034132,0.25837899871549364,0.0001819206249086229
6,0.05,1700.0,0.15,1.0,0.009,18.93637405357614,2.321285140562249,96743.55266340273,-0.9886859966642595,-1.0017673199648616,-0.282074250838884,-0.7197363961372231,0.0010735858345030443,1.0296471343491027e-06,0.0009590552128638871,1.2149536067270675e-06,0.0002054075889046511,0.056290467029515755,96743.55266340273,1.7215468612166746e-07,0.0004425137233095899,-1.0017673199648616,-0.2811726159975355,-0.7205947039673261,0.0003049424786615427,-0.693188181917317,0.6918132750779333,1.3321139101010765e-07,1.8644284504918142e-07,0.0012184340152644078,0.30833114039371234,0.0002546622328703186
7,0.05,1700.0,0.15,1.0,0.01,18.93637405357614,1.9733248832555037,106150.01436916535,-0.9886859966642595,-1.0001648072037386,-0.3309125317445285,-0.6692837032534404,0.0011868097999623657,1.1500677334202174e-06,0.0010178490350996304,1.3213516878174202e-06,0.0002908157982758756,0.0790021487178152,106150.01436916535,1.2496379796843626e-07,0.0004425135978074156,-1.0001648072037386,-0.3309742410942148,-0.6691905661095238,0.00035297301262643253,-0.7285250810501457,0.7265739384351682,1.5407277941333252e-07,3.4028797644437e-07,0.0012304817084208685,0.36129429541548425,0.0003211052717351787
