,dt,maxt,sigma,Jq,J2,beta0,betaf,betaMSE,E0,Ef,Neq_Kin,Neq_Int,ReGamma,ReErr,ImGamma,ImErr,ReMSE,ImMSE,Therm_MSE,mean_dE,max_dE,thermalE,thermal_Kin,thermal_int,EGamma,Econst,Eampli,EGamm_err,EMSE,E2Gamma,E2ampli,E2MSE
0,0.05,1700.0,0.3,1.0,0.003,8.440691151863328,6.947791164658634,1997.743686540664,-0.9539392014169455,-0.9748764141162548,-0.0379196626440287,-0.93710819427486,7.316819126431653e-05,1.0403017533726832e-08,7.558737199452635e-05,1.3187641163310656e-08,2.257975945647088e-10,6.290151290186563e-08,1997.743686540664,6.211170671745562e-07,0.0004427220353808,-0.9748764141162548,-0.0379274984248394,-0.9369489156914154,2.3977253440283585e-05,-0.9499334717657432,0.9499578128025296,1.4005840059155151e-09,3.853828143949772e-13,0.0011029159983218,0.0424254505216299,6.6407533003429946e-06
1,0.05,1700.0,0.3,1.0,0.004,8.440691151863328,5.437751004016064,9980.38183041737,-0.9539392014169455,-0.9733649090228575,-0.065189956846806,-0.908304930871612,0.0002207895584323,6.001342116193801e-08,0.0002175970673774,7.30928311588528e-08,4.229320572790613e-08,1.262990491883388e-05,9980.38183041737,5.336395225559461e-07,0.0004427219832485,-0.9733649090228575,-0.0653103181602143,-0.9080545908626432,6.121728582543574e-05,-0.659697245448033,0.6597262835549794,7.331036167890087e-09,3.1164072572910356e-11,0.0011137641987057,0.0728727411128082,1.8651758713124992e-05
2,0.05,1700.0,0.3,1.0,0.005,8.440691151863328,4.377510040160642,21351.91146004845,-0.9539392014169455,-0.971674522033863,-0.0981027527072821,-0.8736793299069974,0.0003605288379912,1.370577588665652e-07,0.0003425412522705,1.6268166724330726e-07,5.305467617264014e-07,0.0001634169462588,21351.91146004845,4.42092068092841e-07,0.0004427219162187,-0.971674522033863,-0.0976676993704611,-0.8740068226634018,0.0001011876658893,-0.6204796746440316,0.6204858552602343,1.8472227245323785e-08,4.46941174436622e-10,0.0011413051593588,0.1088672698125817,4.113561656744942e-05
3,0.05,1700.0,0.3,1.0,0.006,8.440691151863328,3.57429718875502,36053.97976287477,-0.9539392014169455,-0.969918188926328,-0.1356518303425634,-0.8343524570561652,0.0004925249399183,2.2930138515651085e-07,0.0004519542003387,2.664970462175667e-07,2.618314177424217e-06,0.0008157558368908,36053.97976287477,3.542641632070351e-07,0.0004427218342895,-0.969918188926328,-0.1359975803839329,-0.8339206085423951,0.0001430791302787,-0.6274964324944237,0.6274326532015132,3.300006109620771e-08,2.717225972897062e-09,0.0011432367748147,0.1509218822203371,7.245882527842747e-05
4,0.05,1700.0,0.3,1.0,0.007,8.440691151863328,2.995983935742972,48650.16539385636,-0.9539392014169455,-0.9681880727763372,-0.1768825782302074,-0.7913723845776052,0.0006187744901219,3.291162447046243e-07,0.0005487894679711,3.7529878419750586e-07,8.075291494317053e-06,0.0025107474952971,48650.16539385636,2.754985049889789e-07,0.0004427217374574,-0.9681880727763372,-0.1760830838047676,-0.7921049889715694,0.0001866358888427,-0.6492515579797701,0.6490536321666984,4.973703109259833e-08,1.0444964486935751e-08,0.0011748221383989,0.1951558450772854,0.0001197168703544
5,0.05,1700.0,0.3,1.0,0.008,8.440691151863328,2.5140562248995986,63915.37896299135,-0.9539392014169455,-0.9665520522571488,-0.2209009666426682,-0.7457017206389707,0.0007415011818571,4.322690231820728e-07,0.0006358753152448,4.840225982840204e-07,1.8842114599859916e-05,0.0057870071117741,63915.37896299135,2.08721744210086e-07,0.0004427216257209,-0.9665520522571488,-0.2222744659519995,-0.7442775863051492,0.0002318536284167,-0.6761482690725023,0.6757385771856583,6.786699705597741e-08,3.0155630306711256e-08,0.0011697435204021,0.2449162849490869,0.0001673081601698
6,0.05,1700.0,0.3,1.0,0.009,8.440691151863328,2.1606425702811247,72914.5822514211,-0.9539392014169455,-0.9650543190106188,-0.2668773491700913,-0.6982145076093658,0.0008627074555722,5.365962548381028e-07,0.0007155848190917,5.900485107387263e-07,3.663619625790307e-05,0.0110248829278772,72914.5822514211,1.5483591103545518e-07,0.0004427214990753,-0.9650543190106188,-0.2666664097984781,-0.6983879092121406,0.0002788414559005,-0.7042909532514559,0.7035823987042262,8.683366487026527e-08,7.156047004414456e-08,0.0012036458194485,0.293345983770216,0.0002360090418579
7,0.05,1700.0,0.3,1.0,0.01,8.440691151863328,1.8612893929286192,81363.49097236551,-0.9539392014169455,-0.9637184810478152,-0.3140482687477772,-0.6496976583019157,0.0009841023389119,6.411207946950733e-07,0.0007898445050418,6.921261589511271e-07,6.272179870584346e-05,0.0183681653418469,81363.49097236551,1.1326878275462857e-07,0.0004427213575176,-0.9637184810478152,-0.3139111927408844,-0.6498072883069308,0.0003277590342137,-0.7318506140082924,0.7307504983201717,1.0625530723013013e-07,1.471977979891268e-07,0.0012228925944455,0.3440641342141685,0.0003041452204477
0,0.05,1700.0,0.3,1.0,0.008,8.440691151863328,2.5140562248995986,63915.37896299135,-0.9539392014169455,-0.9665520522571488,-0.2209009666426682,-0.7457017206389707,0.0007415011818571,4.322690231820728e-07,0.0006358753152448,4.840225982840204e-07,1.8842114599859916e-05,0.0057870071117741,63915.37896299135,2.08721744210086e-07,0.0004427216257209,-0.9665520522571488,-0.2222744659519995,-0.7442775863051492,0.0002318536284167,-0.6761482690725023,0.6757385771856583,6.786699705597741e-08,3.0155630306711256e-08,0.0011697435204021,0.2449162849490869,0.0001673081601698
1,0.05,1700.0,0.3,1.0,0.009,8.440691151863328,2.1606425702811247,72914.5822514211,-0.9539392014169455,-0.9650543190106188,-0.2668773491700913,-0.6982145076093658,0.0008627074555722,5.365962548381028e-07,0.0007155848190917,5.900485107387263e-07,3.663619625790307e-05,0.0110248829278772,72914.5822514211,1.5483591103545518e-07,0.0004427214990753,-0.9650543190106188,-0.2666664097984781,-0.6983879092121406,0.0002788414559005,-0.7042909532514559,0.7035823987042262,8.683366487026527e-08,7.156047004414456e-08,0.0012036458194485,0.293345983770216,0.0002360090418579
